INSTNM,ACCREDAGENCY,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,PCTPELL,C150_4,C150_L4,CCSIZSET,HBCU,PBI,ANNHI,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,PCTFLOAN,DEBT_MDN,D_PCTPELL_PCTFLOAN,GRADS,STUFACR,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50
Alabama A & M University,Southern Association of Colleges and Schools Commission on Colleges,0.684,920.0,0.0333,0.0157,0.0059,0.0,0.0,0.0333,0.0802,0.0,0.0391,0.1076,0.0157,0.0,0.0235,0.0,0.0117,0.0176,0.0,0.1644,0.002,0.0,0.0,0.0333,0.0,0.0,0.0117,0.0,0.0744,0.09,0.0431,0.0313,0.0,0.0,0.0,0.0,0.0137,0.0,0.1526,0.0,5196.0,0.6536,0.2678,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5351,16600,5107.0,801.0,19.0,470.0,450.0,17.0,16.0,16.0
University of Alabama at Birmingham,Southern Association of Colleges and Schools Commission on Colleges,0.8668,1291.0,0.0,0.0,0.0,0.0007,0.0269,0.0,0.0241,0.0,0.067,0.06,0.0,0.0073,0.0,0.0,0.0157,0.0328,0.0,0.125,0.0063,0.0,0.0,0.0,0.0052,0.0,0.0227,0.0003,0.0792,0.0353,0.0175,0.0265,0.0,0.0,0.0,0.0,0.0248,0.2213,0.1934,0.008,12776.0,0.3308,0.6442,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4132,15832,13547.0,8607.0,18.0,650.0,650.0,27.0,27.0,25.0
Amridge University,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.0,228.0,0.7769,0.5,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.5896,13385,251.0,419.0,12.0,,,,,
University of Alabama in Huntsville,Southern Association of Colleges and Schools Commission on Colleges,0.781,1259.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0906,0.0,0.0085,0.2924,0.0,0.0122,0.0,0.0,0.017,0.0,0.0,0.0553,0.0152,0.0,0.0201,0.0219,0.0018,0.0,0.0413,0.0,0.0249,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0535,0.1119,0.1945,0.0079,6985.0,0.2173,0.6295,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3414,13905,7569.0,2068.0,17.0,650.0,685.0,26.0,28.0,26.0
Alabama State University,Southern Association of Colleges and Schools Commission on Colleges,0.966,963.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.075,0.0,0.0625,0.0104,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.1271,0.0063,0.0,0.0958,0.0146,0.0,0.0,0.0063,0.0,0.0521,0.1229,0.0438,0.0271,0.0,0.0,0.0,0.0,0.0604,0.05,0.15,0.0104,3296.0,0.6976,0.2773,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7671,17500,3499.0,532.0,14.0,480.0,455.0,18.0,17.0,16.0
The University of Alabama,Southern Association of Colleges and Schools Commission on Colleges,0.8006,1304.0,0.0,0.0036,0.0,0.0016,0.0944,0.0,0.0139,0.0,0.0243,0.1235,0.0,0.0042,0.0798,0.0,0.0105,0.0,0.0,0.0341,0.0095,0.0,0.0141,0.0268,0.0028,0.0,0.0095,0.0,0.0403,0.0,0.0111,0.0786,0.0,0.0,0.0,0.0,0.021,0.1008,0.2868,0.0087,31360.0,0.1788,0.7276,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3388,17986,31685.0,6186.0,19.0,630.0,630.0,28.0,28.0,26.0
Central Alabama Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0446,0.0,0.0,0.0179,0.0,0.0054,0.0,0.0,0.3696,0.0,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.2143,0.0,0.0,0.1893,0.0232,0.0,963.0,0.2985,,0.2165,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1508,5500,1578.0,,16.0,,,,,
Athens State University,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.3579,0.0,0.0,0.0,0.0,0.0,0.0211,0.0684,0.0,0.0132,0.0158,0.0,0.0158,0.0039,0.0039,0.0,0.0,0.0,0.0158,0.0158,0.0,0.0197,0.0,0.0,0.0,0.0,0.025,0.0211,0.3632,0.0105,2465.0,0.4127,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4306,14861,2559.0,374.0,14.0,,,,,
Auburn University at Montgomery,Southern Association of Colleges and Schools Commission on Colleges,0.9223,1051.0,0.0,0.0162,0.0,0.0,0.0192,0.0,0.0708,0.0,0.0546,0.0,0.0,0.0044,0.0,0.0,0.0192,0.0,0.0,0.0619,0.0044,0.0,0.0664,0.0649,0.0,0.0,0.0147,0.0,0.0693,0.0605,0.0,0.0324,0.0,0.0,0.0,0.0,0.0339,0.233,0.1652,0.0088,3307.0,0.4589,0.3584,,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.488,13119,4086.0,1355.0,15.0,540.0,530.0,20.0,21.0,18.0
Auburn University,Southern Association of Colleges and Schools Commission on Colleges,0.4374,1292.0,0.0378,0.0187,0.018,0.0,0.0523,0.0,0.038,0.0,0.0449,0.1786,0.0,0.0046,0.0371,0.0057,0.0069,0.0002,0.0,0.1051,0.0058,0.0,0.0118,0.0,0.0011,0.0,0.0099,0.0,0.0276,0.0,0.0079,0.0316,0.0,0.0,0.0,0.0212,0.0327,0.0616,0.2364,0.0046,25234.0,0.1254,0.8075,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2787,17750,24931.0,6385.0,20.0,650.0,650.0,27.0,28.0,26.0
