input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
Alabama A & M University,Southern University and A & M College,Prairie View A & M University,Alabama State University,Winston-Salem State University,Grambling State University,North Carolina Central University,Virginia State University,Delaware State University,Texas Southern University,Jackson State University
University of Alabama at Birmingham,Oakland University,Indiana University-Purdue University-Indianapolis,University of Louisville,Northern Kentucky University,University of Wisconsin-Milwaukee,University of South Florida,Mercer University,Wichita State University,University of North Carolina Wilmington,University of North Florida
University of Alabama in Huntsville,University of Minnesota-Duluth,Missouri University of Science and Technology,College of Charleston,Louisiana Tech University,Tennessee Technological University,Salisbury University,Georgia College & State University,University of Wisconsin-Eau Claire,Bradley University,Embry-Riddle Aeronautical University-Daytona Beach
Alabama State University,Jackson State University,Virginia State University,Alabama A & M University,Southern University and A & M College,Norfolk State University,Prairie View A & M University,Grambling State University,North Carolina Central University,Winston-Salem State University,Texas Southern University
The University of Alabama,The University of Tennessee-Knoxville,University of South Carolina-Columbia,Louisiana State University and Agricultural & Mechanical College,University of Arkansas,Michigan State University,University of Delaware,University of Cincinnati-Main Campus,University of Colorado Boulder,University of Oklahoma-Norman Campus,Indiana University-Bloomington
Auburn University at Montgomery,Valdosta State University,University of West Alabama,University of South Carolina Aiken,Southwestern Oklahoma State University,University of West Georgia,The University of Texas at Tyler,University of Central Arkansas,Wright State University-Main Campus,Saginaw Valley State University,University of New Orleans
Auburn University,Florida State University,University of South Florida,Clemson University,The University of Tennessee-Knoxville,University of Alabama at Birmingham,University of Georgia,University of South Carolina-Columbia,The University of Alabama,North Carolina State University at Raleigh,Louisiana State University and Agricultural & Mechanical College
Birmingham-Southern College,Hendrix College,North Central College,Ohio Wesleyan University,University of Evansville,Nebraska Wesleyan University,Allegheny College,Florida Southern College,Lycoming College,Virginia Wesleyan University,Randolph-Macon College
Faulkner University,Belhaven University,Lubbock Christian University,Thomas More University,Auburn University at Montgomery,University of Baltimore,Georgia Southwestern State University,Tennessee Wesleyan University,Northwood University,Marian University,Midway University
Huntingdon College,Pfeiffer University,Kentucky Wesleyan College,Dakota Wesleyan University,Brevard College,Adrian College,Tabor College,Eastern Nazarene College,Bethany College,Sterling College,McMurry University
Jacksonville State University,Saginaw Valley State University,Southeast Missouri State University,Southwestern Oklahoma State University,Bemidji State University,Fitchburg State University,University of South Carolina Aiken,SUNY Buffalo State University,Slippery Rock University of Pennsylvania,SUNY Brockport,University of Wisconsin-Oshkosh
University of West Alabama,Auburn University at Montgomery,Valdosta State University,University of South Carolina Aiken,University of West Georgia,Southwestern Oklahoma State University,Lamar University,Bemidji State University,The University of Texas at Tyler,Henderson State University,Jacksonville State University
University of Mobile,Ouachita Baptist University,Gardner-Webb University,University of Evansville,Aquinas College,Union University,Walsh University,Southwest Baptist University,Benedictine College,University of Northwestern-St Paul,Oklahoma Christian University
Samford University,Cedarville University,Quinnipiac University,Dallas Baptist University,Lipscomb University,University of Mary Hardin-Baylor,Duquesne University,St. John Fisher University,Calvin University,Biola University,Butler University
